,url_for_product,product_name,product_availability,product_calories,product_price,have_sizes,Protein,Carbs,Fat,Salt,Saturates,Sugars
63,https://mcdonalds-menu.co.uk/sugar-donut/,Sugar Donut,1,kcal: 195,£ 1.39,1,3.5,21,11,0.41,4.3,6
64,https://mcdonalds-menu.co.uk/millionaires-donut/,Millionaire's Donut,1,kcal: 250,£ 1.69,1,4.7,26,12,0.49,6.1,8.6
65,https://mcdonalds-menu.co.uk/mixed-berry-muffin/,Mixed Berry Muffin,1,kcal: 298,£ 1.69,1,5,48,7.6,0.43,1.1,25
66,https://mcdonalds-menu.co.uk/chocolate-brownie/,Chocolate Brownie,1,kcal: 316,£ 1.79,1,3.6,33,18,0.05,7.1,27
67,https://mcdonalds-menu.co.uk/triple-chocolate-cookie/,Triple Chocolate Cookie,1,kcal: 320,£ 1.39,1,3.9,33,13,0.39,7.2,21
68,https://mcdonalds-menu.co.uk/oreo-mcflurry/,Oreo McFlurry,1,kcal: 258,£ 1.19,2,5.2,38,9,0.27,5.5,32
69,https://mcdonalds-menu.co.uk/smarties-mcflurry/,Smarties McFlurry,1,kcal: 273,£ 1.19,2,5.2,40,10,0.19,6.7,
70,https://mcdonalds-menu.co.uk/maltesers-mcflurry/,Maltesers McFlurry,1,kcal: 266,£ 1.19,2,5.3,38,10,0.2,6.7,34
71,https://mcdonalds-menu.co.uk/caesar-bacon-chicken-one-crispy/,The Caesar & Bacon Chicken One (crispy),1,kcal: 532,£ 4.89,1,32,38,13,1.9,3,2.9
72,https://mcdonalds-menu.co.uk/caesar-bacon-chicken-one-grilled/,The Caesar & Bacon Chicken One (grilled),1,kcal: 403,£ 4.89,1,32,38,13,1.9,3,2.9
73,https://mcdonalds-menu.co.uk/garlic-mayo-chicken-one-grilled/,The Garlic Mayo Chicken One (grilled),1,kcal: 332,£ 4.89,1,26,42,7,1.9,1.6,6.9
74,https://mcdonalds-menu.co.uk/garlic-mayo-chicken-one-crispy/,The Garlic Mayo Chicken One (crispy),1,kcal: 481,£ 4.89,1,22,48,21,1.9,2.6,3
75,https://mcdonalds-menu.co.uk/sweet-chilli-chicken-one-grilled/,The Sweet Chilli Chicken One (grilled),1,kcal: 320,£ 4.89,1,24,41,5.8,1.6,1.1,7.1
76,https://mcdonalds-menu.co.uk/sweet-chilli-chicken-one-crispy/,The Sweet Chilli Chicken One (crispy),1,kcal: 320,£ 4.89,1,22,52,18,2.1,2.3,6.7
77,https://mcdonalds-menu.co.uk/bbq-and-bacon-chicken-one-grilled/,The BBQ and Bacon Chicken One (grilled),1,kcal: 366,£ 4.89,1,26,42,7,1.9,1.6,6.9
78,https://mcdonalds-menu.co.uk/bbq-and-bacon-chicken-one-crispy/,The BBQ and Bacon Chicken One (crispy),1,kcal: 469,£ 4.89,1,24,53,20,2.3,2.8,6.5
79,https://mcdonalds-menu.co.uk/spicy-veggie-one/,The Spicy Veggie One,1,kcal: 365,£ 4.89,1,8.7,59,8.8,1.2,1.3,8.6
